,Theta,A-X (meter),A-Y (meter),B-X (meter),B-Y (meter),C-X (meter),C-Y (meter),D-X (meter),D-Y (meter),D0-X (meter),D0-Y (meter),A-X Vel (meter/sec),A-Y Vel (meter/sec),B-X Vel (meter/sec),B-Y Vel (meter/sec),C-X Vel (meter/sec),C-Y Vel (meter/sec),D-X Vel (meter/sec),D-Y Vel (meter/sec),D0-X Vel (meter/sec),D0-Y Vel (meter/sec),A-X Acc (meter/sec**2),A-Y Acc (meter/sec**2),B-X Acc (meter/sec**2),B-Y Acc (meter/sec**2),C-X Acc (meter/sec**2),C-Y Acc (meter/sec**2),D-X Acc (meter/sec**2),D-Y Acc (meter/sec**2),D0-X Acc (meter/sec**2),D0-Y Acc (meter/sec**2)
162,-2.397738998,0.020707464,-0.022503683,-0.025475295,0.056734834,0.152272122,0.358252257,0.163167563,0.346123097,-0.016236998,0.040887131,0.070694714,0.065002061,-0.02028905,0.011959736,0.121106504,-0.071388364,0.135637361,-0.058365889,-0.002092297,0.022568201,-0.204202219,0.222102445,-0.160640656,0.107513731,0.958873329,-0.64175545,0.954967622,-0.613864746,-0.169352968,0.130431468
163,-2.345399982,0.021856816,-0.02138997,-0.025835347,0.056949102,0.154421297,0.356973278,0.165558235,0.345064961,-0.016295169,0.041281288,0.067196014,0.068612994,-0.022893025,0.013753339,0.136649782,-0.082094477,0.151090183,-0.068620198,-0.004875218,0.02472527,-0.215545875,0.211110536,-0.151913426,0.107832808,0.906780003,-0.643660025,0.899846585,-0.617371225,-0.164639915,0.128488348
164,-2.293061852,0.022946308,-0.020217628,-0.026237609,0.05719334,0.15682242,0.355515411,0.168198932,0.343835235,-0.01639908,0.041711146,0.063513134,0.072035864,-0.025355472,0.015557892,0.151348266,-0.092865956,0.165648604,-0.078968399,-0.007581751,0.026853486,-0.226298729,0.19953999,-0.143660376,0.108823066,0.857517048,-0.649570924,0.847662877,-0.625102095,-0.160188045,0.126966447
165,-2.240724547,0.023972953,-0.018989871,-0.026679788,0.057467821,0.15946181,0.353877019,0.171075161,0.342431776,-0.016547494,0.042176282,0.059656169,0.075261288,-0.027684377,0.01738435,0.165249633,-0.103768189,0.179362294,-0.089479436,-0.010216268,0.028959738,-0.236431312,0.187422517,-0.135887349,0.110457073,0.811119387,-0.659324417,0.798476323,-0.63688348,-0.155996141,0.12585016
166,-2.188388011,0.024933938,-0.017710065,-0.027159723,0.057772998,0.162326575,0.352055396,0.174173257,0.340851315,-0.016739246,0.042676386,0.055635691,0.078280427,-0.029887626,0.019243231,0.178400957,-0.114863954,0.192280712,-0.100219457,-0.012782963,0.03105067,-0.245915852,0.174791327,-0.128577303,0.112709831,0.767485315,-0.672771283,0.752206623,-0.652554752,-0.152045012,0.125126129
167,-2.136052182,0.025826629,-0.016381716,-0.027675385,0.058109498,0.165404589,0.35004681,0.177480363,0.339089502,-0.016973237,0.043211255,0.051462719,0.081085004,-0.031972666,0.021144657,0.190846679,-0.126213674,0.204451003,-0.11125206,-0.015285589,0.033132726,-0.254726354,0.161681052,-0.121694944,0.115558999,0.726404135,-0.689778155,0.708660987,-0.671970187,-0.148301226,0.124783409
168,-2.083717002,0.026648578,-0.015008466,-0.02822486,0.058478111,0.168684435,0.347846539,0.180984375,0.337140946,-0.017248427,0.043780796,0.047148691,0.083667333,-0.033946227,0.0230984,0.202626975,-0.137875677,0.215916324,-0.122638531,-0.017727243,0.035212187,-0.262838677,0.148127623,-0.115190475,0.118984715,0.687578596,-0.710226463,0.66755673,-0.694998127,-0.144720114,0.124813296
169,-2.031382411,0.027397534,-0.013594079,-0.028806339,0.058879788,0.172155318,0.345448905,0.184673868,0.334999255,-0.017563819,0.044385015,0.042705433,0.086020336,-0.035814109,0.025113917,0.213776474,-0.149906414,0.226714498,-0.134438063,-0.020110201,0.037295201,-0.270230577,0.134168187,-0.109002526,0.122969087,0.650642364,-0.734009433,0.62853896,-0.721518103,-0.141248135,0.125208907
170,-1.979048348,0.028071442,-0.012142432,-0.029418103,0.059315636,0.17580697,0.342847305,0.188537994,0.332657064,-0.017918448,0.045024022,0.038145121,0.088137563,-0.037581011,0.02720038,0.224323213,-0.162360629,0.236876926,-0.146707901,-0.022435785,0.039387816,-0.276881784,0.119840998,-0.103060329,0.127495422,0.615173043,-0.761027409,0.591193849,-0.751416223,-0.13782462,0.125964538
171,-1.926714753,0.028668457,-0.010657503,-0.030058498,0.059786911,0.179629526,0.340034236,0.192566369,0.330106071,-0.018311362,0.045698028,0.033480257,0.090013211,-0.039250383,0.029366684,0.234287793,-0.17529142,0.246427688,-0.159503408,-0.024704255,0.041495989,-0.282774079,0.105185329,-0.097285284,0.132547198,0.580701477,-0.791181769,0.555058223,-0.784579059,-0.134383044,0.127074824
172,-1.874381567,0.029186941,-0.009143362,-0.030725919,0.060295017,0.183613399,0.337001324,0.196748942,0.327337067,-0.018741602,0.046407341,0.028723625,0.091642139,-0.040824309,0.031621441,0.243682646,-0.188750197,0.255382781,-0.172878005,-0.026914722,0.043625581,-0.287891311,0.090241363,-0.091591967,0.138106777,0.54671775,-0.824367229,0.519625812,-0.82088587,-0.130851837,0.128533695
173,-1.822048729,0.029625474,-0.00760416,-0.031418782,0.060841497,0.187749138,0.333739354,0.20107586,0.324339969,-0.019208185,0.047152365,0.023888264,0.093019882,-0.042303395,0.033972952,0.252511396,-0.202786498,0.263749432,-0.186882977,-0.029065063,0.045782338,-0.292219449,0.075050053,-0.085888737,0.144153865,0.512674853,-0.86046265,0.484351147,-0.860199285,-0.127154881,0.130333103
174,-1.769716179,0.029982853,-0.006044116,-0.0321355,0.06142803,0.192027271,0.330238303,0.205537311,0.321103861,-0.019710084,0.047933601,0.018987427,0.094142664,-0.043686672,0.036429142,0.260768253,-0.217447637,0.271525467,-0.201567107,-0.031151852,0.047971846,-0.295746635,0.059653033,-0.080078089,0.150663707,0.477990781,-0.89932028,0.448651871,-0.902354329,-0.1232118,0.132461572
175,-1.717383857,0.030258099,-0.004467505,-0.032874457,0.062056424,0.19643815,0.32648738,0.210123362,0.317617037,-0.020246201,0.048751639,0.014034547,0.095007408,-0.044971496,0.038997473,0.268437444,-0.232778156,0.278698709,-0.216976109,-0.033170288,0.05019946,-0.298463207,0.04409251,-0.074056835,0.15760497,0.44204958,-0.940753085,0.411909977,-0.947145504,-0.118938111,0.134902479
176,-1.665051703,0.030450457,-0.002878649,-0.033633979,0.062728607,0.200971776,0.322475083,0.214823794,0.313867063,-0.020815346,0.049607156,0.009043198,0.095611743,-0.04615346,0.041684815,0.275492654,-0.248819052,0.285246388,-0.23315183,-0.035114128,0.052470201,-0.300361717,0.028411128,-0.067716224,0.164937261,0.404202113,-0.98451995,0.373472723,-0.994311688,-0.114245323,0.137632036
177,-1.612719657,0.030559401,-0.001281903,-0.0344123,0.063446613,0.205617621,0.318189262,0.219627913,0.309840844,-0.021416215,0.05050091,0.004027064,0.095954013,-0.047226297,0.044497266,0.281896479,-0.265606735,0.291134576,-0.250131184,-0.036975625,0.054788616,-0.301436953,0.01265187,-0.06094218,0.172608271,0.363767463,-1.03030865,0.332654154,-1.043518735,-0.109041135,0.140616994
178,-1.560387659,0.030584631,0.000318357,-0.035207537,0.064212573,0.210364437,0.313617206,0.224524365,0.305524721,-0.022047358,0.05143373,-0.001000109,0.096033279,-0.048181798,0.047439934,0.287599922,-0.283171685,0.296317655,-0.26794477,-0.03874546,0.057158603,-0.301685963,-0.003142062,-0.053615754,0.180550491,0.32003562,-1.077716204,0.288737942,-1.094339408,-0.103229797,0.143811984
179,-1.508055649,0.030526079,0.001917744,-0.036017652,0.06502869,0.215200058,0.308745759,0.229500932,0.30090459,-0.02270716,0.0524065,-0.006024541,0.095849326,-0.049009737,0.050516646,0.29254194,-0.301536757,0.300737849,-0.286615133,-0.040412698,0.059583182,-0.301108073,-0.018927376,-0.045613961,0.188677456,0.272272481,-1.126226515,0.240982498,-1.146230558,-0.096712784,0.147156492
180,-1.455723568,0.030383905,0.003511875,-0.036840418,0.065897218,0.220111199,0.303561461,0.234544333,0.295966053,-0.023393808,0.05342015,-0.011032459,0.095402655,-0.049697814,0.053729604,0.29664911,-0.320715088,0.304324866,-0.306154625,-0.041964743,0.062064214,-0.299704871,-0.034660819,-0.03681118,0.196879534,0.219728201,-1.175185198,0.188629464,-1.198507429,-0.089389918,0.150571465
181,-1.403391354,0.030158499,0.00509638,-0.037673389,0.066820434,0.225083248,0.298050731,0.239640007,0.290694608,-0.024105266,0.054475623,-0.016010139,0.094694493,-0.050231626,0.057078956,0.299835468,-0.340707563,0.306995723,-0.326562808,-0.043387329,0.064602064,-0.297480204,-0.050299258,-0.027081325,0.205019271,0.161650153,-1.223771754,0.130916829,-1.250315281,-0.081161099,0.153955566
182,-1.351058949,0.029850478,0.006666916,-0.038513858,0.067800595,0.230100054,0.292200096,0.244771905,0.285075888,-0.024839245,0.055573859,-0.020943936,0.09372678,-0.050594688,0.060562294,0.302002607,-0.361499803,0.308654834,-0.34782337,-0.044664538,0.067195191,-0.294440158,-0.065799824,-0.016301011,0.212926335,0.097301853,-1.270969462,0.067098049,-1.300598736,-0.071928838,0.157181104
183,-1.298726291,0.029460686,0.008219178,-0.039358828,0.068839892,0.235143728,0.285996475,0.249922284,0.279095955,-0.02559318,0.056715749,-0.025820327,0.092502168,-0.05076851,0.064174057,0.303040161,-0.383058627,0.30919448,-0.369900518,-0.045778873,0.06983968,-0.290593066,-0.081120037,-0.004353998,0.220392248,0.025989462,-1.31553391,-0.003531214,-1.348069795,-0.061601808,0.160089791
184,-1.246393322,0.028990193,0.009748913,-0.040204978,0.069940392,0.240194445,0.279427523,0.25507151,0.272741659,-0.026364198,0.057902096,-0.030625946,0.091024014,-0.050732764,0.06790486,0.302826793,-0.405328,0.308495797,-0.39273483,-0.0467114,0.072528691,-0.285949475,-0.096217906,0.008862827,0.227165115,-0.052902526,-1.355961529,-0.081597115,-1.391175937,-0.05009963,0.162488511
185,-1.194059981,0.028440288,0.011251926,-0.041048634,0.071103972,0.24523028,0.272482052,0.260197887,0.26600107,-0.027149105,0.059133562,-0.035347621,0.089296369,-0.050465566,0.071740719,0.301231878,-0.428224461,0.306430453,-0.416238596,-0.047441977,0.075251849,-0.280522124,-0.11105205,0.023431674,0.232944716,-0.139864826,-1.390460289,-0.167600839,-1.428070581,-0.03735908,0.164145362
186,-1.141726207,0.027812478,0.012724098,-0.04188575,0.072332226,0.25022707,0.265150528,0.265277516,0.258863987,-0.027944359,0.060410601,-0.039972412,0.08732397,-0.049943904,0.075662216,0.298118048,-0.451632105,0.302863206,-0.440290708,-0.047949606,0.077994567,-0.274325891,-0.125581813,0.039404029,0.237378478,-0.235204739,-1.416925683,-0.261859622,-1.456589175,-0.023341945,0.164786417
187,-1.089391941,0.027108483,0.014161395,-0.042711887,0.073626379,0.25515833,0.257425655,0.270284214,0.251322548,-0.028746067,0.061733382,-0.04448764,0.085112221,-0.049144244,0.079643605,0.29334483,-0.475397239,0.297655549,-0.464731227,-0.048212923,0.080737328,-0.267377749,-0.139767364,0.056788644,0.240059063,-0.338974532,-1.43292626,-0.364434791,-1.47423534,-0.008044622,0.164093773
